GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wallet-service,com.paylite.wallet.config,JwtProperties,3,0,0,0,1,0,1,0,1,0
wallet-service,com.paylite.wallet.config,SecurityConfig,62,0,0,0,13,0,5,0,5,0
wallet-service,com.paylite.wallet.security,JwtAuthenticationFilter,83,0,8,0,22,0,8,0,4,0
wallet-service,com.paylite.wallet.security,CustomUserDetailsService,46,0,0,0,15,0,3,0,3,0
wallet-service,com.paylite.wallet.security,JwtService,74,0,0,0,24,0,5,0,5,0
wallet-service,com.paylite.wallet.exception,IdempotencyKeyMissingException,4,0,0,0,2,0,1,0,1,0
wallet-service,com.paylite.wallet.exception,GlobalExceptionHandler,374,0,2,0,115,0,15,0,14,0
wallet-service,com.paylite.wallet.exception,ConcurrentRetryException,4,0,0,0,2,0,1,0,1,0
wallet-service,com.paylite.wallet.exception,WalletNotFoundException,0,5,0,0,0,2,0,1,0,1
wallet-service,com.paylite.wallet.exception,RecipientNotFoundException,0,5,0,0,0,2,0,1,0,1
wallet-service,com.paylite.wallet.exception,InvalidCredentialsException,4,0,0,0,2,0,1,0,1,0
wallet-service,com.paylite.wallet.exception,SelfTransferException,0,4,0,0,0,2,0,1,0,1
wallet-service,com.paylite.wallet.exception,InsufficientBalanceException,0,15,0,0,0,2,0,1,0,1
wallet-service,com.paylite.wallet.exception,EmailAlreadyExistsException,0,5,0,0,0,2,0,1,0,1
wallet-service,com.paylite.wallet.controller,WalletController,70,0,4,0,12,0,6,0,4,0
wallet-service,com.paylite.wallet.controller,AuthController,24,0,0,0,5,0,3,0,3,0
wallet-service,com.paylite.wallet.dto,UserResponse,0,18,0,0,0,7,0,1,0,1
wallet-service,com.paylite.wallet.service,IdempotencyService,146,7,10,0,34,2,10,1,5,1
wallet-service,com.paylite.wallet.service,WalletService,0,75,0,0,0,17,0,6,0,6
wallet-service,com.paylite.wallet.service,TransferService,6,198,0,4,0,40,1,9,1,7
wallet-service,com.paylite.wallet.service,AuthService,77,0,0,0,20,0,3,0,3,0
wallet-service,com.paylite.wallet.service,UserService,0,74,0,2,0,20,0,3,0,2
wallet-service,com.paylite.wallet,WalletApplication,8,0,0,0,3,0,2,0,2,0
